Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Chiesel,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Focused","Diesel,Pungent,Cheese",,
China-Yunnan,indica,4.3,"Uplifted,Happy,Relaxed,Euphoric,Sleepy","Sweet,Earthy,Cheese",,
Chiquita-Banana,hybrid,4.9,"Happy,Euphoric,Uplifted,Relaxed,Creative","Sweet,Orange,Lemon",Utopia Farms,
Chloe,hybrid,4.9,"Creative,Euphoric,Uplifted,Talkative,Focused","Earthy,Spicy/Herbal,Sweet",,
Chocoholic,hybrid,0,None,None,,
Chocolate-Chunk,indica,4.2,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Sweet,Woody,Earthy",THSeeds,"Amsterdam, Netherlands"
Chocolate-Diesel,sativa,4.6,"Euphoric,Energetic,Happy,Creative,Uplifted","Diesel,Woody,Nutty",,
Chocolate-Drop,hybrid,5,"Uplifted,Euphoric,Giggly,Happy,Relaxed","Earthy,Vanilla",,
Chocolate-Fondue,sativa,4.6,"Uplifted,Relaxed,Happy,Euphoric,Focused","Sweet,Cheese,Earthy",DNA Genetics,"Amsterdam,Canada, California"
Chocolate-Hashberry,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Berry,Earthy,Sweet",,
Chocolate-Kush,indica,4.5,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Sweet,Woody",00 Seeds,
Chocolate-Meringue,indica,0,None,None,THClones,
Chocolate-Og,indica,4.8,"Relaxed,Uplifted,Euphoric,Aroused,Tingly","Sweet,Earthy,Pungent",THClones,
Chocolate-Rain,hybrid,5,"Creative,Happy,Talkative,Uplifted,Energetic","Sweet,Vanilla,Coffee",Eskobar Seeds,
Chocolate-Sap,hybrid,4.5,"Talkative,Uplifted,Energetic,Happy,Euphoric","Citrus,Skunk,Chemical",,
Chocolate-Thai,sativa,4.2,"Uplifted,Happy,Energetic,Focused,Creative","Spicy/Herbal,Coffee,Woody",,Thailand
Chocolate-Thunder,sativa,4.1,"Uplifted,Creative,Happy,Energetic,Focused","Honey,Nutty,Spicy/Herbal",Unknown,
Chocolate-Tonic,hybrid,0,None,None,,
Chocolope,sativa,4.3,"Happy,Uplifted,Energetic,Focused,Euphoric","Coffee,Earthy,Sweet",DNA Genetics,"Amsterdam,Canada, California"
Chocolope-Kush,hybrid,4,"Happy,Creative,Focused,Uplifted,Euphoric","Earthy,Sweet,Vanilla",,
Chong-Star,hybrid,4.5,"Relaxed,Happy,Uplifted,Creative,Euphoric","Honey,Earthy,Skunk",,
Chr-Super-Og,indica,4.3,"Relaxed,Giggly,Sleepy,Happy,Talkative","Skunk,Diesel,Sweet",,
Chronic,hybrid,4.4,"Relaxed,Happy,Giggly,Euphoric,Energetic","Woody,Spicy/Herbal,Sweet",Serious Seed,Africa
Chronic-Thunder,indica,4.5,"Relaxed,Happy,Euphoric,Sleepy,Tingly","Pungent,Sweet,Diesel",Barney's Farm,"Amsterdam, Westmont, Illinois"
Chuckys-Bride,hybrid,4.6,"Giggly,Happy,Energetic,Euphoric,Talkative","Pungent,Lemon,Flowery",Eskobar Seeds,
Chunky-Diesel,hybrid,4.6,"Energetic,Relaxed,Euphoric,Uplifted,Happy","Diesel,Pungent,Earthy",,
Chupacabra,hybrid,4.8,"Focused,Relaxed,Happy,Uplifted,Energetic","Earthy,Vanilla,Sweet",,
Church-Og,indica,4.1,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Pine,Sweet,Lemon",,
Cinderella-99,hybrid,4.4,"Euphoric,Uplifted,Happy,Energetic,Relaxed","Citrus,Earthy,Sweet",Mr. Soul of Brothers Grimm,
Cinderellas-Dream,hybrid,4.4,"Euphoric,Uplifted,Energetic,Focused,Creative","Pepper,Sweet,Citrus",,
Cindy-White,hybrid,4.6,"Happy,Euphoric,Uplifted,Relaxed,Talkative","Earthy,Citrus,Lemon",,
Cinex,sativa,4.3,"Energetic,Uplifted,Happy,Focused,Euphoric","Earthy,Citrus,Sweet",,
Cirrus,sativa,5,"Uplifted,Happy,Talkative,Euphoric,Creative","Diesel,Menthol,Grape",Oregon Cannabis Authority,
Citrix,hybrid,4.3,"Happy,Euphoric,Uplifted,Relaxed,Energetic","Citrus,Lemon,Grapefruit",,
Citrus-Kush,hybrid,4.2,"Relaxed,Happy,Euphoric,Tingly,Uplifted","Citrus,Orange,Sweet",,
Citrus-Punch,sativa,4.2,"Uplifted,Happy,Relaxed,Euphoric,Giggly","Citrus,Orange,Tropical",Potbox,
Citrus-Sap,hybrid,4.4,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Citrus,Orange,Pungent",Crockett Family Farms and DNA Genetics,
Citrus-Sunshine-Haze,hybrid,4.8,"Happy,Uplifted,Focused,Creative,Energetic","Citrus,Orange,Lemon",,
Clementine,sativa,4.3,"Happy,Energetic,Focused,Uplifted,Euphoric","Citrus,Orange,Sweet",Crockett Family Farms,
Clementine-Kush,hybrid,4.4,"Happy,Euphoric,Relaxed,Giggly,Tingly","Citrus,Orange,Flowery",Colorado Seed Inc.,"Boulder, Colorado"
Clementines-Terpentine,hybrid,5,"Aroused,Uplifted,Creative,Focused,Happy","Sweet,Earthy,Pine",Taste Budz,
Clockwork-Orange,hybrid,5,"Relaxed,Happy,Uplifted,Hungry,Aroused","Spicy/Herbal,Sweet,Citrus",Riot Seeds,
Cloud-9,hybrid,4.3,"Euphoric,Energetic,Happy,Giggly,Relaxed","Tropical,Flowery,Rose",,
Club-69,indica,5,"Sleepy,Relaxed","Diesel,Flowery,Earthy",Karma Genetics ,Arizona
Cluster-Bomb,hybrid,4.3,"Euphoric,Focused,Relaxed,Sleepy,Uplifted",Sweet,Bomb Seeds,
Coconut-Oil,hybrid,3,"Aroused,Happy,Relaxed,Uplifted,Creative","Tropical,Flowery,Pungent",Taste Budz,
Cold-Creek-Kush,hybrid,4.3,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Earthy,Pine,Woody",,
Colombian-Gold,sativa,4.5,"Happy,Euphoric,Energetic,Uplifted,Talkative","Earthy,Pungent,Spicy/Herbal",Unknown,Colombia
Colombian-Mojito,sativa,5,"Aroused,Talkative,Tingly,Uplifted,Creative","Minty,Sweet,Citrus",Pua Mana 1st Hawaiian Pakal_l_ Seed Bank,Hawaii
Colorado-Bubba,indica,4.6,"Relaxed,Happy,Sleepy,Uplifted,Creative","Pineapple,Mango,Pine",Vault Gentics,
Colorado-Chem,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Happy,Tingly","Earthy,Sweet,Skunk",,
Colorado-Clementines,indica,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Citrus,Earthy,Orange",La Plata Labs,Colorado
Commerce-City-Kush,indica,4.3,"Relaxed,Sleepy,Euphoric,Happy,Talkative","Diesel,Sweet,Flowery",Rare Dankness Seeds,Colorado
Concord-Grape-Blockhead,hybrid,4.3,"Creative,Euphoric,Giggly,Happy,Relaxed","Sweet,Grape",Spice of Life Seeds,
Confidential-Cheese,indica,4.5,"Sleepy,Uplifted,Relaxed,Tingly,Happy","Cheese,Pine,Woody",DNA Genetics,"Amsterdam,Canada, California"
Confidential-Wreck,hybrid,4.2,"Hungry,Relaxed,Tingly,Uplifted,Creative",,,
Congo,sativa,5,"Uplifted,Energetic,Euphoric,Happy,Talkative","Ammonia,Diesel,Sweet",Ace Seeds,"Valencia, Spain"
