Strain,Type,Rating,Effects,Flavor,Breeders,LOCATION
Biochem,indica,4.4,"Relaxed,Euphoric,Tingly,Sleepy,Happy","Spicy/Herbal,Earthy,Cheese",,
Birds-Eye,sativa,5,"Happy,Uplifted,Energetic,Euphoric,Relaxed",,"Canadian LP Tweed, Inc",Canada
Birthday-Cake-Kush,hybrid,4.5,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Vanilla,Lemon",,
Black-84,indica,4.5,"Relaxed,Sleepy,Happy,Hungry,Euphoric","Pungent,Earthy,Grape",Afghani Genetics,
Black-Afghan,indica,4.6,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Earthy,Pine,Pepper",,
Black-Betty,hybrid,4.5,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Sweet,Berry,Pungent",,
Black-Bubba,indica,4.5,"Happy,Relaxed,Sleepy,Tingly,Euphoric","Earthy,Flowery,Pine",,
Black-Cherry-Cheesecake,hybrid,4.5,"Creative,Relaxed,Euphoric,Hungry,Uplifted","Berry,Sweet,Cheese",Unknown,Oregon
Black-Cherry-Og,indica,4.4,"Relaxed,Uplifted,Happy,Giggly,Euphoric","Berry,Sweet,Earthy",Grand Daady Purp,
Black-Cherry-Pie,hybrid,5,"Relaxed,Uplifted,Creative,Euphoric,Happy","Earthy,Berry,Sweet",,
Black-Cherry-Soda,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Sweet,Berry,Earthy",,
Black-Dhalia,hybrid,4,"Relaxed,Happy,Sleepy,Euphoric,Tingly","Sweet,Earthy,Spicy/Herbal",,
Black-Diamond,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Woody,Berry",,
Black-Diesel,sativa,4.1,"Relaxed,Happy,Hungry,Talkative,Euphoric","Diesel,Pungent,Earthy",Advanced Seeds,
Black-Domina,indica,4.2,"Relaxed,Euphoric,Happy,Sleepy,Uplifted","Pepper,Pine,Woody",,
Black-Haze,hybrid,4.4,"Relaxed,Euphoric,Happy,Uplifted,Focused","Earthy,Pine,Flowery",,
Black-Ice,indica,4.1,"Relaxed,Sleepy,Happy,Hungry,Tingly","Earthy,Citrus,Sweet",,
Black-Jack,hybrid,4.4,"Relaxed,Happy,Euphoric,Uplifted,Talkative","Earthy,Sweet,Pine",,
Black-Label-Kush,indica,4.1,"Euphoric,Relaxed,Sleepy,Uplifted,Focused","Woody,Berry,Earthy",,
Black-Larry-Bird,indica,4,"Tingly,Uplifted,Creative,Euphoric,Focused",None,Mr Mack’s Snacks,
Black-Lime-Special-Reserve,indica,4.5,"Relaxed,Happy,Euphoric,Tingly,Sleepy","Lime,Pepper,Citrus",Aficionado Seeds,
Black-Magic,hybrid,4,"Happy,Relaxed,Uplifted,Euphoric",Earthy,,
Black-Magic-Kush,indica,4.2,"Happy,Relaxed,Sleepy,Hungry,Talkative","Earthy,Berry,Woody",,
Black-Mamba,indica,4.6,"Happy,Relaxed,Euphoric,Uplifted,Talkative","Sweet,Grape,Woody",,
Black-Roses,indica,4,"Relaxed,Sleepy,Uplifted,Euphoric,Focused",None,Red Dirt Ridge Genetics,
Black-Russian,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Hungry","Citrus,Berry,Earthy",Delicious Seeds,"Valencia, Spain"
Black-Tuna,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Woody,Skunk",,
Black-Velvet,hybrid,3.9,"Sleepy,Happy,Hungry,Relaxed,Euphoric","Sweet,Flowery,Citrus",,
Black-Widow,hybrid,4.1,"Happy,Relaxed,Euphoric,Sleepy,Uplifted","Earthy,Sweet,Pungent",Green House Seeds,"Amsterdam, Netherlands"
Blackberry,hybrid,4.2,"Relaxed,Euphoric,Happy,Uplifted,Sleepy","Berry,Sweet,Earthy",,
Blackberry-Bubble,indica,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Berry,Blueberry,Skunk",Arizona Natural Selections,
Blackberry-Chem-Og,hybrid,4.3,"Talkative,Creative,Focused,Relaxed,Euphoric","Berry,Chemical",,
Blackberry-Cream,indica,4.8,"Relaxed,Happy,Uplifted,Sleepy,Euphoric","Berry,Sweet,Vanilla",Exotic Genetix,"Tacoma, Washington"
Blackberry-Diesel,sativa,4.1,"Happy,Energetic,Relaxed,Euphoric,Talkative","Diesel,Spicy/Herbal,Pungent",,
Blackberry-Dream,hybrid,4.2,"Happy,Energetic,Uplifted,Relaxed,Talkative","Spicy/Herbal,Sweet,Grapefruit",,
Blackberry-Fire,hybrid,5,"Creative,Happy","Sweet,Berry,Blueberry",,
Blackberry-Hashplant,indica,3.7,"Euphoric,Sleepy,Uplifted,Energetic,Happy","Berry,Sweet,Earthy",,
Blackberry-Haze,sativa,4.5,"Happy,Relaxed,Uplifted,Hungry,Focused","Berry,Sweet,Spicy/Herbal",Nebu Hybridz,
Blackberry-Kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Berry,Sweet,Earthy",,
Blackberry-Lime-Haze,sativa,4.7,"Happy,Uplifted,Euphoric,Talkative,Focused","Berry,Sweet,Lime",,
Blackberry-Pie,hybrid,4.7,"Euphoric,Creative,Hungry,Relaxed,Happy","Sweet,Blueberry,Berry",,
Blackberry-Rhino,indica,4.3,"Relaxed,Happy,Creative,Hungry,Sleepy","Berry,Sweet,Spicy/Herbal",,
Blackberry-Trainwreck,hybrid,4.3,"Relaxed,Euphoric,Happy,Uplifted,Energetic","Berry,Sweet,Pungent",,
Blackberry-X-Blueberry,indica,4.3,"Relaxed,Happy,Uplifted,Euphoric,Creative","Berry,Earthy,Blueberry",LivWell,
Blackwater,indica,4.6,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Earthy,Berry,Grape",,
Blaze,sativa,4.3,"Euphoric,Energetic,Talkative,Creative,Aroused","Blueberry,Sweet,Berry",British Columbia Seed Company,
Blissful-Wizard,hybrid,4.8,"Happy,Talkative,Euphoric,Relaxed,Uplifted","Earthy,Vanilla,Pungent",,
Blizzard-Bush,hybrid,0,None,None,,
Blob-Og,hybrid,4.7,"Euphoric,Talkative,Uplifted,Creative,Happy","Diesel,Lemon,Chemical",,
Blockhead,hybrid,4.2,"Relaxed,Happy,Hungry,Uplifted,Euphoric","Pungent,Woody,Flowery",,
Blood-Orange-Kush,indica,5,"Sleepy,Uplifted,Euphoric,Happy,Creative","Diesel,Citrus,Orange",,
Bloodhound,hybrid,4.2,"Happy,Relaxed,Focused,Talkative,Euphoric","Earthy,Sage,Spicy/Herbal",RedEyed Genetics,
Bloos-Kloos,indica,4.6,"Creative,Relaxed,Happy,Euphoric,Focused","Flowery,Earthy,Berry",,
Blowfish,hybrid,4.2,"Relaxed,Uplifted,Happy,Euphoric,Tingly","Spicy/Herbal,Pepper,Sage",Dutch Flowers,
Blucifer,sativa,4.3,"Happy,Uplifted,Relaxed,Talkative,Focused","Blueberry,Spicy/Herbal,Berry",Terraform Genetics,
Blue-Afghani,indica,4.4,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Blueberry,Woody,Pungent",Jordan of the Islands,Canada
Blue-Alien,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Blueberry,Berry,Citrus",,
Blue-Bastard,indica,3.8,"Euphoric,Happy,Sleepy,Uplifted,Creative","Berry,Pine",,
Blue-Bayou,sativa,2.8,"Giggly,Uplifted,Creative,Happy,Sleepy",Sweet,Unknown,
Blue-Blood,indica,4.2,"Relaxed,Sleepy,Hungry,Talkative,Focused","Sweet,Blueberry,Earthy",Medicann,
Blue-Boy,hybrid,4.1,"Happy,Relaxed,Giggly,Euphoric,Aroused","Earthy,Pungent,Flowery",,
Blue-Buddha,indica,4.9,"Relaxed,Euphoric,Sleepy,Uplifted,Happy","Blueberry,Citrus,Cheese",,
Blue-Champange,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Euphoric","Sweet,Blueberry,Berry",,
Blue-Cheese,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Blue,Cheese,Cheese,Blueberry",,
Blue-Cinex,hybrid,4.7,"Focused,Uplifted,Happy,Energetic,Sleepy","Blueberry,Earthy",,
Blue-Cookies,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Creative","Berry,Blueberry,Sweet",,
Blue-Crack,hybrid,4.2,"Happy,Relaxed,Uplifted,Energetic,Focused","Blueberry,Sweet,Berry",,
Blue-Diamond,indica,4.4,"Euphoric,Relaxed,Happy,Sleepy,Talkative","Sweet,Tree,Fruit,Pineapple",Bio Queen Genetics,
Blue-Diesel,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry,Diesel,Berry",,
Blue-Dot,sativa,4.7,"Energetic,Happy,Relaxed,Focused,Uplifted","Earthy,Pungent,Berry",,"Sonoma, California"
Blue-Dragon,hybrid,4.4,"Euphoric,Uplifted,Relaxed,Happy,Giggly","Blueberry,Berry,Sweet",,
Blue-Dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet",,
Blue-Dynamite,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Berry,Spicy/Herbal,Pine",Next Generation Seeds,
Blue-Frost,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Creative","Blueberry,Cheese,Menthol",,
Blue-Galaxy,hybrid,4.7,"Relaxed,Happy,Talkative,Creative,Energetic","Berry,Earthy,Blueberry",,
Blue-God,indica,4.7,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Berry,Sweet,Blueberry",Jordan of the Islands,Canada
Blue-Goo,hybrid,4.1,"Happy,Uplifted,Creative,Energetic,Talkative","Berry,Skunk,Pine",,
Blue-Hash,hybrid,4.4,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Sweet,Blueberry,Earthy",,
Blue-Hawaiian,hybrid,4.3,"Happy,Uplifted,Relaxed,Euphoric,Energetic","Citrus,Earthy,Sweet",,
Blue-Haze,hybrid,4.3,"Uplifted,Euphoric,Relaxed,Happy,Energetic","Blueberry,Sweet,Flowery",,
Blue-Heron,hybrid,4.7,"Relaxed,Sleepy,Talkative,Happy,Uplifted","Woody,Spicy/Herbal,Pine",Dynasty Seeds ,
Blue-Ivy,hybrid,4.4,"Relaxed,Focused,Hungry,Happy,Talkative","Earthy,Pepper,Blueberry",,
Blue-Jay-Way,hybrid,4.5,"Relaxed,Uplifted,Focused,Sleepy,Euphoric","Sweet,Citrus,Blueberry",Matrix NV,
Blue-Kiss,hybrid,4.7,"Relaxed,Talkative,Creative,Euphoric,Focused","Sweet,Berry,Blueberry",,
Blue-Knight,indica,4.7,"Relaxed,Uplifted,Hungry,Happy,Focused","Berry,Blueberry,Sweet",,
Blue-Kripple,indica,3.4,"Sleepy,Euphoric,Hungry,Relaxed,Tingly","Earthy,Grape",Dr. Krippling Seeds ,
Blue-Kush,hybrid,4.5,"Relaxed,Uplifted,Euphoric,Creative,Hungry","Blueberry,Pine,Lemon",,
Blue-Lights,indica,4.5,"Relaxed,Euphoric,Happy,Tingly,Uplifted","Blueberry,Earthy,Berry",,
Blue-Magic,sativa,4.6,"Relaxed,Focused,Aroused,Sleepy,Euphoric","Citrus,Lemon,Tropical",,
Blue-Magoo,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Giggly","Earthy,Sweet,Pungent",,
Blue-Monster,indica,4.7,"Relaxed,Hungry,Talkative,Sleepy,Happy","Berry,Sweet,Diesel",,
Blue-Moon-Rocks,hybrid,4.6,"Relaxed,Happy,Uplifted,Euphoric,Focused","Berry,Strawberry,Lavender",,
Blue-Moonshine,indica,4.2,"Happy,Relaxed,Euphoric,Sleepy,Focused","Earthy,Berry,Woody",,
Blue-Mountain-Fire,sativa,4,"Euphoric,Relaxed,Tingly,Uplifted,Happy","Flowery,Earthy,Tar",,
Blue-Mystic,indica,4.2,"Happy,Relaxed,Giggly,Energetic,Sleepy","Blueberry,Earthy,Sweet",,
Blue-Nightmare,hybrid,4.7,"Euphoric,Relaxed,Happy,Giggly,Creative","Berry,Earthy,Blueberry",RNM Flowers,
Blue-Nina,hybrid,4.5,"Happy,Talkative,Giggly,Tingly,Euphoric","Blueberry,Flowery",,
Blue-Og,hybrid,4.3,"Relaxed,Happy,Euphoric,Hungry,Uplifted","Blueberry,Berry,Earthy",,
Blue-Ox,indica,4.5,"Sleepy,Relaxed,Hungry,Talkative,Uplifted","Berry,Flowery,Blueberry",Rare Dankness Seeds,Colorado
Blue-Persuasion,hybrid,4.1,"Relaxed,Tingly,Euphoric,Happy,Hungry","Sweet,Blueberry,Berry",BUDS Pasco,
Blue-Power,indica,4.7,"Relaxed,Tingly,Happy,Uplifted,Euphoric","Berry,Earthy,Sweet",SinCity Seeds ,"Las Vegas, Nevada"
Blue-Rhino,hybrid,4.3,"Sleepy,Relaxed,Focused,Uplifted,Hungry","Blueberry,Sweet,Berry",,
Blue-Satellite,sativa,3.9,"Uplifted,Happy,Euphoric,Talkative,Relaxed","Sweet,Blueberry,Citrus",Unknown,
Blue-Sky,hybrid,4.6,"Happy,Relaxed,Uplifted,Euphoric,Creative","Earthy,Sweet,Pine",,
Blue-Steel,indica,4.3,"Uplifted,Relaxed,Euphoric,Happy,Creative","Blueberry,Pungent,Earthy",Exotic Genetix,"Tacoma, Washington"
Blue-Thai,hybrid,3.7,"Relaxed,Happy,Talkative,Uplifted,Focused","Earthy,Pungent,Woody",Dinafem Seeds,"Barcelona, Spain"
Blue-Train,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet",,
Blue-Trane,hybrid,0,None,None,,
Blue-Treat,hybrid,4.9,"Relaxed,Focused,Happy,Uplifted,Creative","Earthy,Berry,Blueberry",,
Blue-Velvet,hybrid,4.3,"Happy,Relaxed,Euphoric,Uplifted,Focused","Sweet,Earthy,Diesel",,
Blue-Venom,hybrid,4.7,"Relaxed,Euphoric,Happy,Uplifted,Hungry","Pine,Blueberry,Berry",,
Blue-Widow,hybrid,4.2,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Sweet,Berry,Earthy",,
Blue-Wonder,hybrid,5,"Uplifted,Happy,Euphoric,Focused,Relaxed",Blueberry,,California
Blue-Wreck,hybrid,4.7,"Sleepy,Happy,Euphoric,Relaxed,Uplifted","Blueberry,Earthy,Honey",,
Blue-Zkittlez,indica,4.9,"Aroused,Creative,Happy,Relaxed,Euphoric","Berry,Sweet,Flowery",Dying Breed Seeds,
Blue-Zombie,indica,4.7,"Relaxed,Euphoric,Hungry,Sleepy,Happy","Pungent,Earthy,Pepper",,
Blueberry,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet",,
Blueberry-Ak,hybrid,4.9,"Energetic,Relaxed,Euphoric,Happy,Sleepy","Blueberry,Sweet,Pungent",,
Blueberry-Blast,sativa,4.4,"Happy,Uplifted,Euphoric,Energetic,Talkative","Blueberry,Berry,Sweet",Snow High Seeds,Uzbekistan
Blueberry-Bomb,hybrid,5,Relaxed,"Berry,Citrus",,
Blueberry-Cheesecake,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Tingly","Blueberry,Sweet,Cheese",,
Blueberry-Diesel,hybrid,4.2,"Uplifted,Happy,Euphoric,Relaxed,Focused","Blueberry,Diesel,Sweet",,
Blueberry-Dream,sativa,4.6,"Uplifted,Sleepy,Happy,Relaxed,Focused","Sweet,Flowery,Pine",Leaf by Snoop,
Blueberry-Essence,hybrid,4.5,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Sweet,Mango",Life Gardens ,Washington
Blueberry-Haze,hybrid,4.2,"Happy,Euphoric,Creative,Uplifted,Energetic","Blueberry,Berry,Sweet",,
Blueberry-Headband,hybrid,4.3,"Relaxed,Happy,Uplifted,Talkative,Euphoric","Blueberry,Berry,Earthy",NorCal’s Emerald Triangle Seeds,
Blueberry-Jack,hybrid,4.3,"Relaxed,Happy,Creative,Giggly,Hungry","Blueberry,Pine,Berry",,
Blueberry-Kush,indica,4.3,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet",,
Blueberry-Lambsbread,hybrid,4.8,"Relaxed,Happy,Sleepy,Uplifted,Euphoric","Blueberry,Sweet,Earthy",,
Blueberry-Muffins,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Happy,Creative","Blueberry,Earthy,Berry",,
Blueberry-Og,hybrid,4.6,"Happy,Hungry,Giggly,Euphoric,Talkative","Blueberry,Berry,Flowery",,
Blueberry-Pancakes,hybrid,4.5,"Relaxed,Sleepy,Hungry,Happy,Euphoric","Blueberry,Berry,Sweet",,
Blueberry-Pie,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Sleepy","Blueberry,Earthy,Berry",,
Blueberry-Silvertip,hybrid,4.6,"Happy,Uplifted,Giggly,Relaxed,Euphoric","Blueberry,Berry,Flowery",,
Blueberry-Skunk,indica,4.3,"Euphoric,Relaxed,Uplifted,Creative,Happy","Blueberry,Skunk,Berry",,
Blueberry-Space-Cake,indica,5,"Euphoric,Relaxed,Tingly,Happy,Giggly","Tropical,Berry,Blueberry",Cresco Labs,"Chicago, Illinois"
Blueberry-Trainwreck,hybrid,4.4,"Happy,Uplifted,Energetic,Focused,Relaxed","Blueberry,Berry,Sweet",,
Blueberry-Triple-Og,indica,4,None,None,,
Blueberry-Waltz,indica,4.8,"Talkative,Uplifted,Euphoric,Happy,Giggly","Sweet,Blueberry,Tropical",,
Blueberry-Yum-Yum,hybrid,4.6,"Happy,Uplifted,Euphoric,Relaxed,Giggly","Blueberry,Sweet,Berry",,
Blues,hybrid,4,"Happy,Relaxed,Uplifted,Creative,Sleepy","Sweet,Earthy,Berry",,
Blukashima,hybrid,5,Creative,None,,
Bluniverse,hybrid,4.7,"Euphoric,Uplifted,Happy,Tingly,Creative","Blueberry,Berry,Vanilla",Dynasty Seeds,
Blurple,hybrid,4.3,"Happy,Euphoric,Energetic,Hungry,Focused","Grape,Sweet,Flowery",,
Blush,hybrid,5,"Talkative,Creative,Happy,Hungry,Relaxed","Pepper,Honey,Earthy",,
Bob-Saget,sativa,4.8,"Uplifted,Happy,Relaxed,Creative,Talkative","Sage,Chemical,Diesel",Unknown,
Bodega-Bubblegum,hybrid,0,None,None,,
Bog-Bubble,hybrid,4.4,"Uplifted,Happy,Relaxed,Creative,Hungry","Flowery,Berry,Earthy",BOG Seeds,
Bogart,hybrid,4,"Happy,Talkative,Uplifted,Euphoric,Giggly","Sweet,Citrus,Tropical","Canadian LP Tweed, Inc",Canada
Boggle-Gum,hybrid,4,"Happy,Relaxed,Hungry,Sleepy,Giggly","Sweet,Earthy,Grape",,
Booger,hybrid,4.7,"Happy,Focused,Uplifted,Creative,Giggly","Earthy,Skunk,Diesel",,
Boombaye,hybrid,0,None,,,
Bootlegger,hybrid,0,"Sleepy,Giggly,Hungry,Tingly,Happy","Sweet,Earthy,Pungent",,
Bordello,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Happy,Creative","Sweet,Citrus,Pine",,
Boss-Hogg,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Uplifted","Earthy,Sweet,Pungent",,
Boysenberry,hybrid,3.6,"Giggly,Relaxed,Talkative,Energetic,Euphoric","Berry,Sweet,Earthy",,
Brain-Candy,hybrid,5,Creative,Sweet,,
Brains-Damage,indica,4.4,"Euphoric,Focused,Relaxed,Sleepy,Hungry","Earthy,Woody,Sweet",KC Brains,Holland
Brainstorm-Haze,sativa,3.9,"Talkative,Happy,Uplifted,Focused,Energetic","Sweet,Minty,Earthy",Delta 9 Labs,Thailand
Brainwreck,hybrid,4.7,"Creative,Focused,Uplifted,Happy,Euphoric","Citrus,Earthy,Sweet",,
Brand-X,indica,5,"Sleepy,Relaxed,Hungry,Happy,Euphoric","Earthy,Pine,Tar",,Michigan
Brandywine,indica,4.5,"Relaxed,Happy,Uplifted,Tingly,Euphoric","Grape,Rose,Honey",Dungeons Vault Genetics,
Brazil-Amazonia,sativa,4.5,"Uplifted,Euphoric,Focused,Happy,Relaxed","Spicy/Herbal,Berry,Earthy",World of Seeds Bank,Brazil
Brian-Berry-Cough,hybrid,4.5,"Happy,Uplifted,Relaxed,Energetic,Hungry","Berry,Tropical,Sweet",TGA Genetics,"Seattle, Washington"
Bright-Fire,indica,5,"Hungry,Relaxed,Uplifted,Creative,Euphoric","Pungent,Earthy,Citrus",Palomar Craft Cannabis,
Bright-Moments,hybrid,0,None,None,,
Broke-Diesel,hybrid,5,"Uplifted,Euphoric,Creative,Energetic,Happy",,,
Bronze-Whaler,indica,0,"Hungry,Relaxed",None,,
Brooklyn-Mango,hybrid,4.9,"Euphoric,Aroused,Uplifted,Happy,Talkative","Mango,Tropical,Citrus",Dr. Underground,
Bruce-Banner,hybrid,4.6,"Happy,Euphoric,Relaxed,Uplifted,Creative","Earthy,Diesel,Pungent",,
Bruce-Banner-3,hybrid,4.6,"Euphoric,Relaxed,Happy,Uplifted,Energetic","Sweet,Earthy,Flowery",,
Bsc,hybrid,4.5,"Relaxed,Happy,Hungry,Euphoric,Giggly","Earthy,Pungent,Sweet",Unknown,
Bubba-Berry,indica,5,"Sleepy,Happy,Relaxed",None,,
Bubba-Doja,indica,4,None,None,Quest Genetics,
Bubba-Fresh,hybrid,5,"Aroused,Sleepy,Tingly,Uplifted,Creative","Citrus,Earthy,Pine",,
Bubba-Hash,indica,0,None,None,Ace Seeds,"Valencia, Spain"
Bubba-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Sweet,Woody",,
Bubba-Og,indica,4.3,"Happy,Relaxed,Sleepy,Euphoric,Uplifted","Earthy,Sweet,Pungent",,
Bubba-Tom-Hayes,hybrid,4.9,"Euphoric,Happy,Uplifted,Creative,Talkative","Earthy,Pungent,Ammonia",Tom Hill,Afghanistan
Bubba-X-Skunk,hybrid,5,"Creative,Euphoric,Relaxed,Happy,Tingly","Diesel,Skunk,Pine",Old School Breeders Association,
Bubbas-Bitch,indica,4,"Sleepy,Tingly,Uplifted,Hungry,Relaxed","Flowery,Rose,Earthy",Garrett fardens,Michigan
Bubbas-Gift,indica,4.6,"Relaxed,Euphoric,Happy,Uplifted,Focused","Sweet,Flowery,Berry",Humboldt Seed Organization,
Bubble-Cheese,indica,3.8,"Relaxed,Hungry,Sleepy,Tingly,Talkative","Blue,Cheese,Cheese,Pungent",Big Buddha Seeds,United Kingdom
Bubble-Gum,hybrid,4.1,"Happy,Relaxed,Euphoric,Uplifted,Hungry","Sweet,Flowery,Berry",,
Bubbleberry,hybrid,4.4,"Happy,Relaxed,Focused,Uplifted,Hungry","Sweet,Berry,Blueberry",,
Bubblegum-Kush,indica,4.3,"Relaxed,Happy,Sleepy,Uplifted,Talkative","Sweet,Earthy,Flowery",Bulldog Seeds,Netherlands
Bubblegun,hybrid,3.8,"Happy,Focused,Aroused,Talkative,Uplifted","Pepper,Mint,Blueberry",,
Bubblicious,hybrid,4.3,"Happy,Relaxed,Talkative,Giggly,Uplifted","Sweet,Blueberry,Berry",,
Buckeye-Purple,indica,4.3,"Sleepy,Relaxed,Euphoric,Focused,Happy","Tropical,Diesel,Grape",Melvanetics,
Buddha-Haze,sativa,4.6,"Giggly,Happy,Uplifted,Euphoric,Talkative","Sweet,Earthy,Nutty",Big Buddha Seeds,United Kingdom
Buddha-Tahoe,indica,4.5,"Relaxed,Happy,Euphoric,Uplifted,Hungry","Earthy,Pungent,Sweet",,
Buddhas-Hand,hybrid,4.7,"Focused,Euphoric,Energetic,Aroused,Uplifted","Citrus,Lemon,Pungent",,
Buddhas-Sister,indica,4.3,"Relaxed,Sleepy,Uplifted,Happy,Euphoric","Earthy,Flowery,Sweet",,
Buffalo-Bill,sativa,4.2,"Relaxed,Uplifted,Tingly,Euphoric,Happy","Earthy,Woody,Pine",Doc and Yeti's,Washington State
Bugatti-Og,hybrid,4.6,"Relaxed,Happy,Uplifted,Hungry,Sleepy","Berry,Earthy,Pine",,
Burkle,indica,4.9,"Relaxed,Sleepy,Happy,Euphoric,Uplifted","Berry,Flowery,Pungent",,
Burmese-Kush,hybrid,4.2,"Uplifted,Relaxed,Happy,Euphoric,Creative","Earthy,Pine,Pungent",,
Burnt-Cookies,hybrid,0,None,None,Rebel Spirit Cannabis,"Eugene, Oregon"
Butter-Og,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Giggly","Butter,Sweet,Pungent",,
Butterscotch,indica,4.3,"Relaxed,Euphoric,Focused,Creative,Sleepy","Pine,Citrus,Nutty",,
C13-Haze,sativa,4.4,"Euphoric,Creative,Uplifted,Energetic,Giggly","Earthy,Pungent,Lemon",DNA Genetics,"Amsterdam,Canada, California"
C3,hybrid,5,None,None,,
C3Po,hybrid,4.3,"Relaxed,Hungry,Sleepy,Focused,Uplifted","Sweet,Pine,Lemon",Petrolia Farms,California
C4,hybrid,4.5,"Relaxed,Happy,Euphoric,Creative,Uplifted","Earthy,Flowery,Lime",,
Cabbage-Patch,hybrid,4.4,"Relaxed,Happy,Uplifted,Giggly,Energetic","Menthol,Grapefruit,Nutty",,
Cackleberry,hybrid,0,None,None,,
Cactus,indica,4.6,"Euphoric,Happy,Uplifted,Relaxed,Hungry","Citrus,Earthy,Pungent",Jordan of the Islands,Canada
Cactus-Cooler,hybrid,4.5,"Creative,Euphoric,Focused,Happy,Energetic","Citrus,Earthy,Sweet",,
Cadillac-Purple,indica,4.2,"Relaxed,Sleepy,Tingly,Happy,Hungry","Berry,Earthy,Grape",,
Cali-Gold,hybrid,4.5,"Uplifted,Relaxed,Happy,Sleepy,Euphoric","Earthy,Pine,Skunk",,
Cali-Jack,hybrid,4.7,"Creative,Happy,Talkative,Uplifted,Euphoric","Diesel,Sweet,Skunk",,
Cali-Kush,hybrid,4.2,"Relaxed,Happy,Hungry,Euphoric,Uplifted","Earthy,Woody,Sweet",,
California-Grapefruit,indica,4.4,"Euphoric,Relaxed,Tingly,Talkative,Uplifted","Citrus,Grapefruit,Pepper",DNA Genetics,"Amsterdam,Canada, California"
California-Hash-Plant,indica,5,"Uplifted,Creative,Energetic,Giggly,Happy",Citrus,,
California-Orange,hybrid,4.3,"Happy,Relaxed,Uplifted,Euphoric,Giggly","Citrus,Orange,Sweet",,
California-Sour,hybrid,3.6,"Focused,Relaxed,Euphoric,Energetic,Uplifted","Lemon,Diesel,Citrus",,
Calyx-Og,hybrid,0,None,None,Calyx Garden,"Humboldt, California"
Cambodian,sativa,4.2,"Energetic,Talkative,Happy,Relaxed,Uplifted","Earthy,Tropical,Flowery",,Cambodia
Cambodian-Haze,sativa,4.6,"Euphoric,Happy,Aroused,Creative,Relaxed","Sweet,Citrus,Lemon",Reeferman Seeds,Mexico
Candy-Cane,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry,Happy","Sweet,Tropical,Pine",Crop King Seeds,
Candy-Jack,sativa,4.3,"Happy,Energetic,Euphoric,Creative,Focused","Skunk,Citrus,Pungent",Unknown,
Candyland,sativa,4.6,"Happy,Uplifted,Energetic,Euphoric,Creative","Sweet,Earthy,Flowery",,
Canna-Tsu,hybrid,4.5,"Relaxed,Happy,Focused,Uplifted,Creative","Woody,Earthy,Grapefruit",,
Cannadential,hybrid,4.1,"Euphoric,Happy,Relaxed,Uplifted,Energetic","Earthy,Pungent,Diesel",,
Cannalope-Haze,sativa,4.2,"Happy,Relaxed,Energetic,Uplifted,Creative","Sweet,Tropical,Flowery",Unknown,
Cannalope-Kush,hybrid,4.5,"Uplifted,Happy,Relaxed,Euphoric,Focused","Sweet,Earthy,Woody",DNA Genetics,"Amsterdam,Canada, California"
